name,id,all_review_count
아르떼뮤지엄 강릉,1090555407,16021
강릉 경포대,1675156043,9323
경포 아쿠아리움,37434460,8900
런닝맨 강릉점,1112785467,7779
하슬라아트월드,11626644,5741
버드나무 브루어리,37090227,3105
자연아놀자 체험학습박물관,32777223,2583
수상한마법학교,37081677,2423
정동진시간박물관,32794988,2164
쌍둥이동물농장,37869673,2156
참소리에디슨손성목영화박물관,12409858,2081
썬크루즈 테마공원,474291808,2048
강릉 중앙시장,13345873,1899
원더스카이,1542622512,1748
고래책방,1357865119,1591
뒷뜨루관광농원,1117620826,1438
르꼬따쥬,1300520912,1146
강릉 오죽헌·시립박물관,11620702,1098
대관령아기동물농장,35372537,1075
해피아워크루즈,1600054868,1015
경포해수욕장,12079976,783
국립대관령자연휴양림,11491009,771
애니멀스토리,35188457,737
안목해변,13491906,695
강문해변,13491183,611
강릉 선교장,11687693,502
환희컵박물관,32268465,415
하평해변(강릉),1800696554,363
강릉커피박물관,13313746,314
강릉 한울타리마을,1378194684,311
주문진해양박물관,34818378,261
주문진해수욕장,13491005,236
송정해변,20065935,222
호린파크(경포대허브농장),1261782152,215
경포호,13491109,208
사천해변,13491268,185
강릉자수박물관,19832807,179
강릉자동차극장,266717564,163
사근진해변,15371716,151
정동진해변,11491778,128
강릉아기동물농장,1848252796,121
영진해변,13491150,115
남항진해변,13491444,82
정동진조각공원,13351605,82
소돌아들바위공원,19501415,81
소돌해수욕장,13491657,78
강릉 서부시장,13345877,75
허균·허난설헌 기념공원,1130774967,74
대관령박물관,20107994,74
강릉 솔향수목원,19564244,67
경포호수광장,472414455,63
모래시계공원,11620713,58
강릉 안목해맞이공원,939463951,57
연곡해변,13444336,52
병산 옹심이마을,1243747688,46
강릉 월화거리,1287320440,46
주문진항,13490946,41
강릉 명주동 거리,1249952785,41
경포가시연습지,31044854,41
강문솟대다리,1940124735,40
사근진해중공원 전망대,1338629806,40
강릉커피거리,20947876,40
주문진bts,1154013651,37
순긋해변,13491745,36
강릉아트센터,1550291849,36
강릉문화원,11535675,34
등명해변,13491470,32
강릉 대도호부 관아,15685783,32
임해자연휴양림,13068554,30
금진해변,15703904,29
허난설헌 생가터,20066218,28
주문진 등대,20054507,28
오대산 소금강계곡,13491923,26
경포도립공원,13300191,26
강릉 남산공원,15693581,26
남대천,13491494,23
리고엠,1775014582,22
강릉 메타버스 체험관,1881857549,21
경포생태저류지,1346656418,21
안인해변,13491186,21
국립대관령치유의숲,269545324,20
강릉시립미술관 교동,12762639,20
순포해변,20103328,19
향호해변,15698326,19
옥계해변,13444970,18
노인봉,13491315,18
갈골한과체험전시관,15704484,18
주문리마을,20059236,17
풍호마을,13126966,16
강릉항,15692195,15
금진항(강릉),1206536601,14
명주예술마당,38623679,13
정감이마을,37031400,13
강릉안반데기관광농원,1109407473,12
강릉원주대학교 박물관,21824426,12
영진항,20054445,12
강릉 동부시장,13345874,11
순포습지,1884028346,9
강릉향교,11663849,7
강릉 복사꽃마을,12390002,6
신사임당사친시비,15699373,5
구룡폭포,13491884,4
강릉올림픽뮤지엄,1211834959,4
도직해변,15703402,4
염전해변,15701732,3
초당순두부마을,31506191,3
제왕산,15700020,3
단오타운전시관,12955259,3
단경골 휴양지,19748069,3
강릉 수리골 고택,20066249,2
사천진해변(사천뒷불해수욕장),15704900,2
처음처럼&새로 브랜드 체험관,1412053208,2
경포플라워가든,1063021154,2
강릉 방동리 무궁화,2145408639,2
소금강,15707029,2
강릉 임영관 삼문,749351147,1
강릉시립미술관 솔올,2062786512,1
강릉교육문화관,11592129,1
